72684,92643,14649
26210,2364,67790
84573,71566,22481
76641,46208,81658
68380,43507,32460
86060,12732,47088
45442,86598,14542
88586,16892,56419
55108,83036,27110
23427,18264,27840
38765,6904,85430
82529,52691,4008
42661,21649,19526
91433,91853,62629
86980,3561,34893
88133,41675,22886
53284,70099,25666
11269,40540,4210
647,75611,96619
99416,71870,92060
57287,59219,14228
65798,83432,88294
4903,25174,61060
59873,21306,99589
79425,62571,15466
9465,38249,88496
3036,67217,43260
32114,78148,2834
48768,97906,76370
52947,95296,97269
94197,93730,26430
85712,42466,25222
91344,11463,65451
86374,95494,28453
20563,69179,31669
59675,53731,18156
45211,71674,61773
24583,81334,54837
39088,17612,57823
65935,16546,96200
64374,24577,15016
54462,29711,10663
24634,10817,21316
59298,49044,29339
60227,17915,7022
5293,87293,19212
93121,206,8266
36300,65537,43491
56262,52764,49748
44877,32718,81670
37777,76368,45747
61769,87040,14622
39701,5660,12483
79174,66141,59624
48750,42522,56821
95766,83652,22457
28706,8124,23678
32083,42714,41358
10452,59428,97252
85696,23071,66530
18708,18871,54367
41292,99903,35272
64225,47279,78719
46411,85079,4213
69376,63541,73904
91285,93324,33090
82163,6896,72917
15026,6118,91273
74461,1622,11008
36121,26311,24151
15379,70286,8324
94091,18225,39053
60310,56451,38787
42584,95730,80246
74358,85817,22389
86026,18098,26592
61652,75270,89818
13557,51903,20588
36404,42411,8521
39732,43776,54066
62522,77659,53140
66375,91604,78234
95104,1128,2252
35949,95815,8165
88937,75266,89507
30761,38384,34431
7236,22212,23173
6867,37593,47894
32421,68323,52890
64433,68206,44917
14955,96321,28292
35955,64823,57760
39538,27238,27166
35311,76120,23406
35453,35529,24086
1133,90171,55872
53363,74861,77678
90454,52499,60625
99650,82432,25281
85749,36041,68748
55040,88350,1740
81568,7542,73056
67829,13874,70702
81912,31869,78405
55163,22578,12656
82498,98468,91499
58492,63484,4050
86457,34459,26405
89476,20632,54145
58086,34060,5956
50735,58417,79356
45151,17527,94435
5858,64236,60493
97861,51108,86910
87192,58673,47679
31843,44536,21641
634,38081,19971
39139,32758,53561
39581,30681,49387
69601,55362,20241
93283,39549,81139
78349,11613,73024
50941,63091,62587
65884,69174,97352
77247,78840,53184
18061,23668,60094
35275,4732,15794
66364,63162,21563
69224,45766,80395
60710,41340,30319
67174,39614,46047
47001,8170,6521
4400,97544,28691
34098,64893,8259
419,8737,92344
93522,79836,44178
5936,68032,68625
93223,26941,42958
8196,94906,39386
35871,68046,60512
44879,51207,7838
67869,11101,61378
79525,36202,35158
54076,52257,94538
13763,51126,48199
24960,85806,42379
51291,62054,75655
84837,17979,4735
61662,64591,74125
53247,51113,5717
16010,19009,94786
86043,56108,77999
89383,11464,22298
99204,19598,36336
58404,91399,91963
52299,6239,76839
25887,7977,16373
35655,42371,50243
24021,25551,34664
78739,95104,87361
6895,89912,48697
6836,24093,17817
68686,39477,60008
95273,48168,80136
45817,1596,53522
98224,83960,99059
35404,77887,75538
8696,55447,29159
28466,31993,89960
39146,35989,85900
35395,43764,93478
7458,90146,41686
15285,76722,58997
78173,15700,53959
1171,71687,79131
82529,71794,79038
97776,52471,36186
22655,41480,82548
33615,78013,18077
68690,44340,20714
14948,73512,53198
6002,98464,31250
82782,32154,9723
2302,87288,71030
87692,96102,98042
7200,99525,38817
54583,76252,88593
6462,40140,90226
19741,20465,88037
21418,47718,9747
31502,63317,48229
3848,45486,86266
50107,25258,99712
12066,25516,10076
22406,11151,16549
38248,16652,69333
35488,85638,48532
23080,91423,94735
36761,14725,34524
97839,50469,9136
76463,72819,99482
48647,11039,6521
40955,6412,81563
32055,40157,52849
93832,73589,762
43993,67328,14020
11749,13064,28551
17674,61523,31663
44027,20728,13628
58822,45547,7633
68174,14663,34668
41863,95595,70494
49559,15722,98217
4188,6090,36613
55433,14263,71892
18882,41723,49278
21323,1399,76506
92012,39154,44911
710,37308,68856
70910,58264,35002
29107,9225,49503
97509,80065,6580
76976,27719,3819
77441,8678,34795
54719,23993,76634
21450,33064,19211
24361,39592,76302
98755,30676,85867
46793,89526,11958
3495,13850,68887
34016,51346,84489
85136,18779,20236
75019,21114,81881
14713,41377,75779
83551,66822,96373
8252,66995,16814
46682,2608,22513
40628,31097,95391
79925,51519,47535
69468,51510,74821
21869,73668,28716
32694,13614,26654
61481,66720,27145
12201,3442,28200
22222,61259,711
31482,2815,41072
98865,68095,31317
63481,81421,37010
27989,71281,74166
48026,98795,33992
20529,85034,3655
61161,72482,78129
60432,33923,44839
78020,45958,33016
45061,72867,35927
56087,39438,51917
42097,28600,24836
37769,92819,13692
94760,60680,36110
67530,72524,85411
61383,1154,12541
70119,64293,38854
74660,4794,60114
80489,63799,55803
65532,12721,7457
15824,61081,86374
53053,2599,50549
6482,92995,63770
97126,23065,32062
71876,25862,77517
64947,47286,88808
47254,23761,36489
33197,43709,29905
28026,47974,92293
62397,83356,83172
51724,57340,39887
96981,91304,29444
48788,33265,23115
56338,1557,27830
99360,66519,82678
84348,8761,457
37298,13861,98236
76320,34237,47607
73259,43404,27838
78183,91117,80505
14179,64111,12636
27733,45698,17589
59258,89480,16087
43106,81084,26307
77485,78512,57702
53194,73139,21822
65471,72036,99408
82449,73032,4373
85471,39608,99901
25240,51708,2236
52488,75989,78149
62207,56926,99933
52664,97752,40890
73320,40061,88227
86816,20471,3532
29857,29452,7605
49993,19148,1817
8168,62006,84707
28870,53101,17734
76655,18399,3898
3712,57184,28028
72237,55269,6672
77295,17116,48729
61703,89160,64609
45942,18118,58433
54355,3328,61507
60540,34711,97934
66286,95886,20995
55836,33367,58529
40603,52487,5625
76585,8905,69972
13642,82267,81090
66988,4805,75734
79570,38973,3802
76313,2566,8410
38148,41801,27406
99528,48708,49252
58286,73488,41785
94362,61146,55766
39393,89549,32682
98685,50371,39271
72617,30448,33552
93898,51164,35109
10749,37299,71592
43044,31566,37818
31963,41450,2646
84794,53092,12515
91444,83292,77885
29181,96377,34894
35393,80517,1426
12808,35356,1149
7038,87712,71494
91552,58259,10258
49583,69996,91404
80951,93255,40996
68293,36477,19758
83157,20412,41880
57327,62977,53882
99080,97135,93683
11382,93283,48564
71227,95668,27499
38136,64435,98025
83081,33674,20930
55960,71478,17890
84291,70423,53907
94160,37042,21428
35150,4167,75999
30446,32754,27426
55535,71764,70592
29610,66002,46875
96717,25674,41328
15048,19767,28826
55441,48845,49839
3719,92044,30255
11755,26120,78477
66283,28192,48820
10310,22696,93426
69497,59203,11625
35604,8356,28928
29112,95993,7098
81620,98406,796
14463,3079,5749
17319,93277,68507
9176,38214,68651
41594,94925,30440
93346,24493,57722
89457,74017,35384
93461,12460,28298
36210,38748,19970
7787,55265,39761
24752,63872,38174
21887,46528,72777
33714,95471,65382
1898,46843,26364
75079,52755,15501
22289,57728,76104
37304,7600,35596
23739,60654,44863
35439,89462,87119
97741,10870,40959
9915,46693,33221
55572,40107,68320
69562,29501,77576
67470,95366,22778
49149,25177,30316
55559,19572,57561
69505,66379,41626
3297,3357,44825
35637,98141,61751
31707,13646,2330
78795,44640,3607
13944,91247,98796
99968,92361,56688
97427,11131,89665
97027,18026,85390
23884,42935,4268
45554,50811,18204
35300,20297,95934
67224,9580,26192
85043,89663,85251
78204,72020,14470
30534,14934,61090
69792,81393,46353
84706,99590,88104
20874,48844,44159
73287,71710,36660
56972,70643,22577
56488,29688,72529
94276,88432,60566
75334,67620,78307
37515,71702,87142
21434,38372,28143
73238,90319,39564
93461,88473,78309
95887,78617,44133
39930,23793,10494
54472,12325,17141
2351,43984,50521
16143,71368,84306
22383,69040,20955
5666,2223,93427
52139,68111,10949
95029,67083,41892
56072,10673,29048
87384,78425,47420
80327,22755,60337
18916,33790,53461
59406,74263,18744
19562,15010,54988
9554,4190,13765
46276,10317,75394
73276,43531,33404
91576,8683,82070
48853,51968,27262
63293,8551,83840
66484,5809,59571
19686,59394,94705
58680,74207,7532
50449,21112,3153
40478,83797,75764
35725,87478,1816
32722,67969,20865
28708,82593,86474
13799,64046,58053
36298,92079,19354
71822,32795,27791
92857,38279,74374
39465,55149,14057
67380,45661,95721
61243,91827,35274
60710,11320,70273
35324,38093,79843
99757,99998,91136
21020,63060,13926
55371,5231,91987
94542,53055,2780
78700,65485,32495
1956,89329,89824
53576,14412,61255
23451,15217,44051
80632,21979,25125
99044,42200,82709
12649,81606,98796
51540,67177,81918
56158,74951,78590
55459,59945,32501
63747,65277,39708
75440,80747,41
10007,3464,77376
26290,5834,92130
54125,29973,29738
97605,77889,42579
76140,99148,87756
14729,46561,30758
37336,92650,83115
15758,12340,7472
89590,67629,11285
4440,25556,99271
40473,9118,2821
85044,31061,54171
71659,15735,60860
16772,698,48042
51518,49851,56370
75771,3207,26819
10163,89794,34576
68988,12219,74639
71477,37334,93731
39496,43,58498
6211,55305,89766
21864,89296,73748
42127,46255,29229
21289,17244,27228
34073,76430,92554
58398,98993,62045
66467,81671,62477
79634,9360,84222
92763,17813,2814
86512,80710,23977
84201,81398,21792
3149,11857,4373
24435,20453,90415
68242,95962,28772
96232,50156,163
17938,39071,6902
4082,9893,3866
37111,95860,80593
70921,41571,52990
25824,95375,29648
21730,57603,88407
19228,66937,508
30083,7002,8268
84045,23799,86883
47614,6462,87231
47438,45423,86172
47011,28991,34762
55699,41861,1337
94058,76965,39870
81365,87477,30338
83256,33346,38878
18544,2280,33894
27120,22895,97951
78728,80629,96883
10200,13295,44145
1680,38974,77077
